case_id,jurisdiction,doc_length_tokens,doc_length_sentences,avg_sentence_length,statute_ref_count,precedent_citation_count,citation_count,doctrine_term_count,remedy_term_count,procedure_term_count,jurisdiction_mention_count,statute_per_1k,precedent_per_1k,citation_density,doctrine_per_1k,remedy_per_1k,procedure_per_1k,jurisdiction_per_1k,conclusion_position,party_arg_density
104947,KR,4204,123,34.18,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
121915,KR,1031,24,42.96,2,0,2,18,7,5,1,1.9399,0.0,1.9399,17.4588,6.7895,4.8497,0.9699,0.1386,2.9098
38911,KR,22,3,7.33,1,0,1,0,0,0,0,45.4545,0.0,45.4545,0.0,0.0,0.0,0.0,-1.0,0.0
66659,KR,803,45,17.84,0,3,3,36,12,9,9,0.0,3.736,3.736,44.8319,14.944,11.208,11.208,0.2831,4.9813
96329,KR,1673,41,40.8,1,0,1,22,2,0,0,0.5977,0.0,0.5977,13.15,1.1955,0.0,0.0,0.7168,1.1955
31419,KR,385,6,64.17,2,0,2,5,4,3,0,5.1948,0.0,5.1948,12.987,10.3896,7.7922,0.0,0.8929,2.5974
129934,KR,1495,31,48.23,1,0,1,17,10,1,0,0.6689,0.0,0.6689,11.3712,6.689,0.6689,0.0,0.1898,2.0067
36616,KR,1713,35,48.94,1,0,1,3,0,9,2,0.5838,0.0,0.5838,1.7513,0.0,5.2539,1.1675,0.151,0.0
69382,KR,1362,15,90.8,2,0,2,18,11,1,0,1.4684,0.0,1.4684,13.2159,8.0764,0.7342,0.0,0.476,0.0
85061,KR,431,13,33.15,0,0,0,5,2,7,4,0.0,0.0,0.0,11.6009,4.6404,16.2413,9.2807,0.9937,0.0
117324,KR,100,3,33.33,1,0,1,7,1,5,0,10.0,0.0,10.0,70.0,10.0,50.0,0.0,0.9627,0.0
84898,KR,306,10,30.6,0,1,1,3,2,7,1,0.0,3.268,3.268,9.8039,6.5359,22.8758,3.268,0.9781,9.8039
5258,KR,522,8,65.25,3,1,4,26,11,12,9,5.7471,1.9157,7.6628,49.8084,21.0728,22.9885,17.2414,0.7131,0.0
31754,KR,256,10,25.6,1,1,2,15,5,13,2,3.9062,3.9062,7.8125,58.5938,19.5312,50.7812,7.8125,0.9094,0.0
83876,KR,1661,69,24.07,1,4,5,31,10,6,8,0.602,2.4082,3.0102,18.6635,6.0205,3.6123,4.8164,0.1073,11.4389
130519,KR,1580,29,54.48,1,1,2,8,3,13,8,0.6329,0.6329,1.2658,5.0633,1.8987,8.2278,5.0633,0.351,5.6962
140296,KR,1360,24,56.67,0,0,0,1,1,13,3,0.0,0.0,0.0,0.7353,0.7353,9.5588,2.2059,0.3983,0.0
91219,KR,542,28,19.36,0,0,0,12,7,4,2,0.0,0.0,0.0,22.1402,12.9151,7.3801,3.69,0.8095,9.2251
29200,KR,4867,138,35.27,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
61625,KR,442,26,17.0,0,0,0,4,0,0,0,0.0,0.0,0.0,9.0498,0.0,0.0,0.0,-1.0,0.0
28290,KR,1361,31,43.9,1,0,1,14,20,14,0,0.7348,0.0,0.7348,10.2866,14.6951,10.2866,0.0,0.9379,2.939
18558,KR,506,19,26.63,0,0,0,10,6,6,0,0.0,0.0,0.0,19.7628,11.8577,11.8577,0.0,0.9814,1.9763
104819,KR,374,17,22.0,0,0,0,6,4,1,2,0.0,0.0,0.0,16.0428,10.6952,2.6738,5.3476,0.481,2.6738
33940,KR,82,3,27.33,0,0,0,3,1,2,0,0.0,0.0,0.0,36.5854,12.1951,24.3902,0.0,0.8892,12.1951
131883,KR,706,31,22.77,1,0,1,19,12,5,0,1.4164,0.0,1.4164,26.9122,16.9972,7.0822,0.0,0.3685,21.2465
50381,KR,359,17,21.12,1,0,1,1,1,0,0,2.7855,0.0,2.7855,2.7855,2.7855,0.0,0.0,0.767,0.0
93462,KR,2245,65,34.54,1,1,2,24,9,15,5,0.4454,0.4454,0.8909,10.6904,4.0089,6.6815,2.2272,0.7979,1.3363
88164,KR,910,33,27.58,0,1,1,34,5,4,4,0.0,1.0989,1.0989,37.3626,5.4945,4.3956,4.3956,0.2823,5.4945
64705,KR,3351,72,46.54,0,2,2,39,16,4,6,0.0,0.5968,0.5968,11.6383,4.7747,1.1937,1.7905,0.3516,3.2826
132689,KR,926,26,35.62,0,0,0,14,5,6,0,0.0,0.0,0.0,15.1188,5.3996,6.4795,0.0,0.6118,1.0799
66296,KR,1081,33,32.76,1,2,3,3,1,3,4,0.9251,1.8501,2.7752,2.7752,0.9251,2.7752,3.7003,0.3741,2.7752
102913,KR,4328,108,40.07,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
125191,KR,374,15,24.93,0,0,0,3,6,3,0,0.0,0.0,0.0,8.0214,16.0428,8.0214,0.0,0.9712,21.3904
1845,KR,1010,33,30.61,0,1,1,34,11,1,3,0.0,0.9901,0.9901,33.6634,10.8911,0.9901,2.9703,0.5626,5.9406
114754,KR,206,6,34.33,2,0,2,8,6,2,0,9.7087,0.0,9.7087,38.835,29.1262,9.7087,0.0,0.819,0.0
104762,KR,1092,16,68.25,0,0,0,7,4,4,0,0.0,0.0,0.0,6.4103,3.663,3.663,0.0,0.2883,0.9158
77753,KR,1429,27,52.93,1,0,1,19,4,6,2,0.6998,0.0,0.6998,13.296,2.7992,4.1987,1.3996,0.4606,0.0
49743,KR,329,17,19.35,5,0,5,2,2,0,0,15.1976,0.0,15.1976,6.079,6.079,0.0,0.0,-1.0,0.0
80204,KR,1520,23,66.09,5,1,6,30,27,0,1,3.2895,0.6579,3.9474,19.7368,17.7632,0.0,0.6579,0.9979,1.9737
69940,KR,304,3,101.33,0,0,0,3,1,3,0,0.0,0.0,0.0,9.8684,3.2895,9.8684,0.0,0.9896,0.0
58911,KR,367,27,13.59,0,1,1,9,5,1,1,0.0,2.7248,2.7248,24.5232,13.624,2.7248,2.7248,0.797,2.7248
143871,KR,326,6,54.33,0,0,0,1,1,7,0,0.0,0.0,0.0,3.0675,3.0675,21.4724,0.0,0.9909,0.0
78677,KR,346,13,26.62,0,0,0,4,3,0,0,0.0,0.0,0.0,11.5607,8.6705,0.0,0.0,0.9715,23.1214
89946,KR,594,15,39.6,0,0,0,4,1,4,1,0.0,0.0,0.0,6.734,1.6835,6.734,1.6835,0.2157,0.0
63225,KR,1329,50,26.58,0,0,0,13,9,1,2,0.0,0.0,0.0,9.7818,6.772,0.7524,1.5049,0.8487,13.544
72769,KR,178,7,25.43,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0
18603,KR,775,17,45.59,3,0,3,12,11,4,5,3.871,0.0,3.871,15.4839,14.1935,5.1613,6.4516,0.3715,5.1613
58005,KR,595,26,22.88,0,1,1,4,1,1,1,0.0,1.6807,1.6807,6.7227,1.6807,1.6807,1.6807,0.3043,10.084
61284,KR,838,40,20.95,0,5,5,7,6,3,7,0.0,5.9666,5.9666,8.3532,7.1599,3.58,8.3532,0.4368,2.3866
91643,KR,2951,76,38.83,1,0,1,13,6,8,2,0.3389,0.0,0.3389,4.4053,2.0332,2.7109,0.6777,0.5798,3.0498
1742237,US,5155,320,16.11,16,49,65,12,19,9,4,3.1038,9.5053,12.6091,2.3278,3.6857,1.7459,0.7759,0.9735,0.0
2333112,US,5187,364,14.25,2,60,62,6,4,10,15,0.3856,11.5674,11.953,1.1567,0.7712,1.9279,2.8918,0.2554,0.1928
2427282,US,5283,522,10.12,11,184,195,0,5,11,25,2.0822,34.8287,36.9108,0.0,0.9464,2.0822,4.7322,0.2324,0.9464
1083174,US,3825,193,19.82,3,6,9,0,1,3,0,0.7843,1.5686,2.3529,0.0,0.2614,0.7843,0.0,0.9902,1.0458
2201444,US,3163,265,11.94,0,6,6,6,1,4,2,0.0,1.8969,1.8969,1.8969,0.3162,1.2646,0.6323,0.4226,0.0
1575504,US,1619,54,29.98,2,26,28,0,0,5,8,1.2353,16.0593,17.2946,0.0,0.0,3.0883,4.9413,-1.0,0.6177
2698654,US,2503,104,24.07,0,14,14,2,0,8,9,0.0,5.5933,5.5933,0.799,0.0,3.1962,3.5957,0.9842,0.799
2645723,US,2800,118,23.73,0,8,8,0,3,13,14,0.0,2.8571,2.8571,0.0,1.0714,4.6429,5.0,0.0631,0.0
2698714,US,4850,205,23.66,0,19,19,0,4,31,3,0.0,3.9175,3.9175,0.0,0.8247,6.3918,0.6186,0.1892,1.0309
2179475,US,219,12,18.25,0,0,0,0,1,2,0,0.0,0.0,0.0,0.0,4.5662,9.1324,0.0,-1.0,0.0
1048066,US,4141,234,17.7,4,30,34,7,48,39,17,0.966,7.2446,8.2106,1.6904,11.5914,9.418,4.1053,0.5172,0.0
2119458,US,714,25,28.56,0,1,1,0,0,3,0,0.0,1.4006,1.4006,0.0,0.0,4.2017,0.0,-1.0,0.0
2699801,US,1587,71,22.35,0,6,6,1,10,8,2,0.0,3.7807,3.7807,0.6301,6.3012,5.041,1.2602,0.9706,1.8904
2474648,US,2675,112,23.88,2,36,38,0,8,9,4,0.7477,13.4579,14.2056,0.0,2.9907,3.3645,1.4953,0.0139,0.0
2046473,US,5350,366,14.62,0,21,21,1,0,11,9,0.0,3.9252,3.9252,0.1869,0.0,2.0561,1.6822,-1.0,0.1869
1685297,US,3267,158,20.68,0,31,31,0,1,30,4,0.0,9.4888,9.4888,0.0,0.3061,9.1827,1.2244,-1.0,0.0
2574272,US,5203,313,16.62,4,87,91,2,3,4,18,0.7688,16.7211,17.4899,0.3844,0.5766,0.7688,3.4595,0.1662,0.0
1438039,US,3966,133,29.82,0,12,12,0,1,17,0,0.0,3.0257,3.0257,0.0,0.2521,4.2864,0.0,0.9664,0.2521
1048291,US,2503,171,14.64,0,7,7,2,19,28,0,0.0,2.7966,2.7966,0.799,7.5909,11.1866,0.0,0.4034,0.0
2700567,US,4501,154,29.23,0,6,6,3,16,48,4,0.0,1.333,1.333,0.6665,3.5548,10.6643,0.8887,0.9955,0.0
1043513,US,2488,100,24.88,0,14,14,9,0,12,2,0.0,5.627,5.627,3.6174,0.0,4.8232,0.8039,0.9881,2.0096
2579657,US,5222,425,12.29,24,93,117,4,2,8,24,4.5959,17.8093,22.4052,0.766,0.383,1.532,4.5959,0.0669,0.766
1045809,US,4534,204,22.23,0,23,23,0,2,33,10,0.0,5.0728,5.0728,0.0,0.4411,7.2783,2.2056,0.1436,0.0
1046267,US,2708,103,26.29,7,7,14,0,2,82,14,2.5849,2.5849,5.1699,0.0,0.7386,30.2806,5.1699,0.1477,0.0
2580541,US,5347,423,12.64,6,43,49,0,12,32,17,1.1221,8.0419,9.164,0.0,2.2442,5.9847,3.1794,0.0328,0.0
2580690,US,5206,327,15.92,0,12,12,0,4,10,11,0.0,2.305,2.305,0.0,0.7683,1.9209,2.1129,0.0348,0.0
2701564,US,3659,96,38.11,0,21,21,0,1,12,4,0.0,5.7393,5.7393,0.0,0.2733,3.2796,1.0932,0.0913,0.0
2242427,US,5445,644,8.45,0,125,125,3,0,11,3,0.0,22.9568,22.9568,0.551,0.0,2.0202,0.551,0.4402,0.0
2636710,US,1772,77,23.01,0,2,2,0,0,10,1,0.0,1.1287,1.1287,0.0,0.0,5.6433,0.5643,0.9667,0.0
1252421,US,5522,276,20.01,0,14,14,14,0,32,1,0.0,2.5353,2.5353,2.5353,0.0,5.795,0.1811,-1.0,0.0
1055639,US,2038,94,21.68,7,5,12,0,3,7,0,3.4347,2.4534,5.8881,0.0,1.472,3.4347,0.0,0.0736,0.0
2395894,US,5256,337,15.6,5,38,43,1,1,2,3,0.9513,7.2298,8.1811,0.1903,0.1903,0.3805,0.5708,0.0338,0.0
2640239,US,1604,50,32.08,0,2,2,0,16,9,4,0.0,1.2469,1.2469,0.0,9.9751,5.611,2.4938,-1.0,0.0
1046591,US,1583,81,19.54,4,5,9,0,1,21,0,2.5268,3.1586,5.6854,0.0,0.6317,13.266,0.0,0.3469,0.0
2516170,US,5251,344,15.26,7,3,10,0,21,6,8,1.3331,0.5713,1.9044,0.0,3.9992,1.1426,1.5235,0.4347,0.0
1065224,US,3775,203,18.6,0,5,5,19,1,24,0,0.0,1.3245,1.3245,5.0331,0.2649,6.3576,0.0,0.046,0.5298
2156327,US,5349,285,18.77,2,31,33,24,2,14,13,0.3739,5.7955,6.1694,4.4868,0.3739,2.6173,2.4304,0.0335,0.5609
1188713,US,1218,51,23.88,0,2,2,0,1,6,2,0.0,1.642,1.642,0.0,0.821,4.9261,1.642,0.5686,2.4631
2639942,US,1998,78,25.62,0,6,6,2,9,4,2,0.0,3.003,3.003,1.001,4.5045,2.002,1.001,0.501,5.005
2692166,US,2332,69,33.8,0,8,8,1,0,23,15,0.0,3.4305,3.4305,0.4288,0.0,9.8628,6.4322,0.8811,0.0
2622043,US,4017,173,23.22,0,10,10,0,2,23,4,0.0,2.4894,2.4894,0.0,0.4979,5.7257,0.9958,-1.0,0.0
2706710,US,5372,417,12.88,0,33,33,4,3,26,4,0.0,6.143,6.143,0.7446,0.5585,4.8399,0.7446,-1.0,0.0
2622468,US,2859,176,16.24,0,24,24,3,0,11,1,0.0,8.3945,8.3945,1.0493,0.0,3.8475,0.3498,-1.0,0.0
2622542,US,5223,263,19.86,0,17,17,13,102,14,0,0.0,3.2548,3.2548,2.489,19.529,2.6805,0.0,0.0486,0.0
2224076,US,1504,43,34.98,0,14,14,0,0,3,1,0.0,9.3085,9.3085,0.0,0.0,1.9947,0.6649,0.9067,0.6649
2703952,US,3001,127,23.63,0,17,17,1,0,11,3,0.0,5.6648,5.6648,0.3332,0.0,3.6654,0.9997,0.8204,0.0
1657799,US,1786,96,18.6,0,10,10,10,0,5,0,0.0,5.5991,5.5991,5.5991,0.0,2.7996,0.0,0.2897,0.0
